X,Y,Z_PID_Input,Setpoint_PID,Servo_PID_Output,Temp_degC,Sys_cal,G_cal,A_cal,M_cal
95.000,-1.250,96.688,90.0000,0.000,34,0,0,0,2
77.750,-8.312,108.500,90.0000,0.000,34,0,0,0,2
67.875,-18.812,99.875,90.0000,0.000,34,0,0,0,2
75.875,-22.000,78.813,90.0000,11.747,34,0,0,0,3
89.938,-17.937,52.875,90.0000,38.981,34,0,0,0,3
109.375,-10.937,3.375,90.0000,90.956,34,1,0,0,3
120.688,-16.062,-39.875,90.0000,136.369,34,2,0,0,3
123.125,-19.312,-75.938,90.0000,174.234,34,2,0,0,3
130.688,-19.875,-97.688,90.0000,197.072,34,2,0,0,3
132.500,-20.000,-98.000,90.0000,197.400,34,2,0,0,3
128.750,-22.125,-84.750,90.0000,183.487,34,1,0,0,3
115.875,-24.312,-35.875,90.0000,132.169,34,0,0,0,3
103.813,-15.125,27.125,90.0000,66.019,34,0,0,0,3
95.188,-6.813,58.562,90.0000,33.009,34,0,0,0,3
83.625,-5.000,85.688,90.0000,4.528,34,0,0,0,3
71.375,-10.250,93.688,90.0000,0.000,34,0,0,0,3
64.063,-18.062,88.313,90.0000,1.772,34,0,0,0,3
75.125,-15.375,62.375,90.0000,29.006,34,0,0,0,3
82.563,-11.687,24.687,90.0000,68.578,34,1,0,0,3
92.125,0.875,-20.062,90.0000,115.566,34,1,0,0,3
101.188,-2.750,-57.500,90.0000,154.875,34,2,0,0,3
109.813,-7.438,-77.688,90.0000,176.072,34,3,0,0,3
125.000,-17.625,-92.438,90.0000,191.559,34,3,0,0,3
132.813,-25.875,-82.000,90.0000,180.600,34,3,0,0,3
118.688,-22.437,-23.562,90.0000,119.241,34,1,0,0,3
111.188,-5.750,19.500,90.0000,74.025,34,0,0,0,3
102.875,0.438,45.500,90.0000,46.725,34,0,0,0,3
95.313,0.813,58.812,90.0000,32.747,34,0,0,0,3
91.375,-0.563,64.000,90.0000,27.300,34,0,0,0,3
92.250,-0.438,67.563,90.0000,23.559,34,0,0,0,3
87.500,-3.125,71.313,90.0000,19.622,34,0,0,0,3
77.500,-13.812,72.688,90.0000,18.178,34,0,0,0,3
86.813,-14.375,54.687,90.0000,37.078,34,0,0,0,3
93.750,-13.312,34.562,90.0000,58.209,34,1,0,0,3
103.625,-8.750,0.312,90.0000,94.172,34,1,0,0,3
113.125,-8.437,-32.187,90.0000,128.297,34,2,0,0,3
117.938,-13.187,-58.750,90.0000,156.188,34,2,0,0,3
123.000,-15.625,-90.563,90.0000,189.591,34,2,0,0,3
125.500,-14.875,-103.000,90.0000,202.650,34,2,0,0,3
127.625,-15.687,-103.438,90.0000,203.109,34,2,0,0,3
135.313,-20.312,-105.563,90.0000,205.341,34,2,0,0,3
141.188,-24.937,-107.688,90.0000,207.572,34,2,0,0,3
142.250,-25.125,-116.625,90.0000,216.956,34,2,0,0,3
137.000,-20.312,-124.188,90.0000,224.897,34,2,0,0,3
137.688,-17.500,-133.875,90.0000,235.069,34,2,0,0,3
134.938,-19.187,-128.750,90.0000,229.687,34,2,0,0,3
123.938,-20.312,-111.063,90.0000,211.116,34,1,0,0,3
106.063,-19.875,-74.563,90.0000,172.791,34,0,0,0,3
97.313,-18.187,-24.375,90.0000,120.094,34,0,0,0,3
95.875,-10.875,14.375,90.0000,79.406,34,0,0,0,3
85.438,-5.813,63.562,90.0000,27.759,34,0,0,0,3
66.625,-7.875,100.813,90.0000,0.000,34,0,0,0,3
30.562,-19.312,132.750,90.0000,0.000,34,0,0,0,3
24.625,-24.062,126.313,90.0000,0.000,34,0,0,0,3
57.250,-21.687,105.000,90.0000,0.000,34,0,0,0,3
75.188,-15.875,61.812,90.0000,29.597,34,0,0,0,3
93.500,-8.562,6.250,90.0000,87.937,34,0,0,0,3
104.750,-6.563,-36.250,90.0000,132.563,34,1,0,0,3
108.500,-4.938,-76.063,90.0000,174.366,34,1,0,0,3
119.063,-5.563,-110.063,90.0000,210.066,34,1,0,0,3
132.938,-10.125,-123.313,90.0000,223.978,34,2,0,0,3
156.563,-18.875,-134.125,90.0000,235.331,34,2,0,0,3
141.750,-21.062,-120.750,90.0000,221.287,34,2,0,0,3
127.000,-23.375,-97.625,90.0000,197.006,34,2,0,0,3
109.750,-26.562,-51.875,90.0000,148.969,34,1,0,0,3
100.875,-18.250,3.937,90.0000,90.366,34,0,0,0,3
101.063,-6.688,27.250,90.0000,65.888,34,0,0,0,3
97.813,-9.375,21.187,90.0000,72.253,34,0,0,0,3
98.250,-9.250,18.750,90.0000,74.813,34,0,0,0,3
98.313,-6.188,30.500,90.0000,62.475,34,1,0,0,3
95.125,-5.500,37.937,90.0000,54.666,34,1,0,0,3
91.625,-5.250,41.437,90.0000,50.991,34,1,0,0,3
89.500,-6.250,43.625,90.0000,48.694,34,1,0,0,3
90.688,-6.063,38.500,90.0000,54.075,34,1,0,0,3
93.750,-5.500,27.937,90.0000,65.166,34,2,0,0,3
95.125,-7.250,21.000,90.0000,72.450,34,2,0,0,3
98.188,-9.000,11.250,90.0000,82.688,34,2,0,0,3
99.938,-8.562,6.438,90.0000,87.741,34,2,0,0,3
102.063,-10.562,-1.125,90.0000,95.681,34,2,0,0,3
104.000,-9.375,-4.625,90.0000,99.356,34,2,0,0,3
104.500,-11.000,-0.250,90.0000,94.763,34,3,0,0,3
107.063,-12.312,3.250,90.0000,91.087,34,3,0,0,3
110.500,-11.250,6.313,90.0000,87.872,34,3,0,0,3
112.750,-10.812,8.062,90.0000,86.034,34,3,0,0,3
112.688,-10.062,8.750,90.0000,85.312,34,3,0,0,3
111.375,-7.875,9.937,90.0000,84.066,34,3,0,0,3
107.688,-7.063,11.000,90.0000,82.950,34,3,0,0,3
103.750,-5.625,12.375,90.0000,81.506,34,3,0,0,3
